,title,track,categories,url
74,Mask and Infill: Applying Masked Language Model for Sentiment Transfer,Main,"['Natural Language Generation', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/732
75,Relation-Aware Entity Alignment for Heterogeneous Knowledge Graphs,Main,"['Natural Language Processing', 'NLP Applications and Tools', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2019/733
76,RTHN: A RNN-Transformer Hierarchical Network for Emotion Cause Extraction,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/734
77,Sharing Attention Weights for Fast Transformer,Main,"['Machine Translation', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/735
78,A Goal-Driven Tree-Structured Neural Model for Math Word Problems,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/736
79,Dual-View Variational Autoencoders for Semi-Supervised Text Matching,Main,['Natural Language Semantics'],https://www.ijcai.org/proceedings/2019/737
80,Earlier Attention? Aspect-Aware LSTM for Aspect-Based Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/738
81,Polygon-Net: A General Framework for Jointly Boosting Multiple Unsupervised Neural Machine Translation Models,Main,"['Machine Translation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/739
82,Neural Collective Entity Linking Based on Recurrent Random Walk Network Learning,Main,"['Information Extraction', 'Natural Language Processing', 'Named Entities']",https://www.ijcai.org/proceedings/2019/740
83,Robust Audio Adversarial Example for a Physical Attack,Main,['Speech'],https://www.ijcai.org/proceedings/2019/741
84,HorNet: A Hierarchical Offshoot Recurrent Network for Improving Person Re-ID via Image Captioning,Main,"['Natural Language Generation', 'Embeddings']",https://www.ijcai.org/proceedings/2019/742
85,Knowledge-enhanced Hierarchical Attention for Community Question Answering with Multi-task and Adaptive Learning,Main,"['Natural Language Processing', 'Question Answering']",https://www.ijcai.org/proceedings/2019/743
86,Knowledgeable Storyteller: A Commonsense-Driven Generative Model for Visual Storytelling,Main,"['Natural Language Generation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/744
87,Triplet Enhanced AutoEncoder: Model-free Discriminative Network Embedding,Main,['Embeddings'],https://www.ijcai.org/proceedings/2019/745
88,Improving Multilingual Sentence Embedding using Bi-directional Dual Encoder with Additive Margin Softmax,Main,"['Information Retrieval', 'Machine Translation', 'Natural Language Processing', 'Embeddings']",https://www.ijcai.org/proceedings/2019/746
89,Utilizing Non-Parallel Text for Style Transfer by Making Partial Comparisons,Main,"['Natural Language Generation', 'Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/747
90,Graph-based Neural Sentence Ordering,Main,"['Discourse', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/748
91,Refining Word Representations by Manifold Learning,Main,"['Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/749
92,Beyond Word Attention: Using Segment Attention in Neural Relation Extraction,Main,"['Information Extraction', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/750
93,Adapting BERT for Target-Oriented Multimodal Sentiment Classification,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/751
94,Modeling both Context- and Speaker-Sensitive Dependence for Emotion Detection in Multi-speaker Conversations,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/752
95,Extracting Entities and Events as a Single Task Using a Transition-Based Neural Model,Main,"['Information Extraction', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/753
96,Multi-view Knowledge Graph Embedding for Entity Alignment,Main,"['Embeddings', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2019/754
97,Quantum-Inspired Interactive Networks for Conversational Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Text Classification', 'Dialogue']",https://www.ijcai.org/proceedings/2019/755
98,A Document-grounded Matching Network for Response Selection in Retrieval-based Chatbots,Main,"['Dialogue', 'Information Retrieval']",https://www.ijcai.org/proceedings/2019/756
